,LT,abs,rel
45749,1,47.9583152331,47.7842372894
45750,0,101.980390272,101.980390272
45754,1,34.6410161514,33.6650164612
45759,1,69.2820323028,69.2820323028
45760,0,91.6515138991,82.0568908339
45762,0,106.77078252,90.1849950565
45763,1,28.2842712475,23.0940107676
45764,0,109.087121146,99.41495528
45765,0,101.488915651,94.6044396421
45766,0,82.4621125124,78.7400787401
45767,1,52.9150262213,46.9041575982
45768,1,77.4596669241,65.8280588604
45769,1,143.874945699,130.192165663
45772,0,76.8114574787,74.0495329717
45774,1,100.498756211,99.7496867163
45776,0,110.905365064,107.160316038
45778,0,44.72135955,37.4165738677
45779,0,90.5538513814,89.0692614392
45781,0,124.49899598,118.953772534
45785,0,87.7496438739,86.8907359849
45786,1,82.4621125124,71.6472842007
45787,0,123.288280059,113.13708499
45788,0,89.4427191,83.2666399786
45789,0,93.8083151965,90.5538513814
45791,1,74.8331477355,36.514837167
45794,0,120.830459736,101.653004547
45797,1,74.8331477355,56.5685424949
45801,1,28.2842712475,23.0940107676
45802,1,97.4679434481,96.6953980291
45806,1,77.4596669241,73.4846922835
45807,0,122.474487139,115.470053838
45808,1,48.9897948557,48.9897948557
45809,0,112.249721603,104.562580942
45810,1,34.6410161514,33.6650164612
45811,1,76.8114574787,71.2974987874
45813,0,116.619037897,116.619037897
45815,1,52.9150262213,52.2812904712
45817,0,112.694276696,47.7842372894
45819,0,69.2820323028,67.3300329224
45821,1,82.4621125124,71.6472842007
45824,1,28.2842712475,28.2842712475
45826,1,28.2842712475,23.0940107676
45827,1,128.840987267,115.470053838
45828,1,44.72135955,43.9696865276
45829,0,104.403065089,103.682206767
45831,1,52.9150262213,52.2812904712
45834,1,28.2842712475,23.0940107676
45835,1,66.3324958071,61.6441400297
45837,1,44.72135955,37.4165738677
45840,0,71.4142842854,71.2974987874
45841,0,124.899959968,123.827837473
45842,0,109.087121146,108.397416943
45844,0,122.065556157,120.346721324
45845,0,120.830459736,119.721899974
45846,0,139.283882772,139.044357431
45849,1,69.2820323028,67.3300329224
45850,0,48.9897948557,46.1880215352
45851,0,137.113092008,115.758369028
45854,0,129.228479833,79.2674796706
45858,1,34.6410161514,33.6650164612
45859,1,40.0,23.0940107676
45860,1,132.664991614,104.562580942
45862,0,107.703296143,78.7400787401
45863,1,84.2614977318,83.3666600027
45867,1,28.2842712475,23.0940107676
45868,1,28.2842712475,28.2842712475
45869,0,56.5685424949,46.1880215352
45870,0,119.582607431,119.51290028
45871,1,51.9615242271,43.3973885543
45872,1,86.6025403784,51.8009008931
45875,1,34.6410161514,33.6650164612
45878,0,40.0,23.0940107676
45879,0,122.882057274,121.174804862
45880,0,56.5685424949,56.5685424949
45884,0,69.2820323028,67.3300329224
45885,0,124.09673646,123.827837473
45889,0,119.582607431,107.160316038
45894,0,151.986841536,151.492574075
45896,1,135.277492585,124.432043033
45897,0,134.536240471,134.474285026
45900,0,137.840487521,136.869767784
45902,0,80.0,80.0
45904,0,82.4621125124,59.4418483338
45905,0,92.736184955,89.4427191
45906,0,153.622914957,153.405779987
45907,0,77.4596669241,65.8280588604
45909,0,112.694276696,94.6044396421
45910,0,91.1043357914,74.0495329717
45911,0,82.4621125124,82.0568908339
45913,0,154.596248337,145.201010097
45917,1,52.9150262213,52.2812904712
45919,0,95.9166304663,95.5684745789
45920,0,60.0,43.9696865276
45921,0,60.0,59.4418483338
45929,0,131.909059583,118.883696668
45931,0,81.8535277187,79.2674796706
45932,1,77.4596669241,73.4846922835
45933,1,34.6410161514,33.6650164612
45934,0,149.331845231,149.276030672
45935,0,60.0,54.7722557505
45937,1,63.2455532034,54.1602560309
45938,1,60.0,54.7722557505
45939,0,124.09673646,121.655250606
45940,0,131.148770486,46.9041575982
45943,1,82.4621125124,71.6472842007
45944,1,74.8331477355,67.3300329224
45945,1,44.72135955,43.9696865276
45946,1,52.9150262213,52.2812904712
45947,0,136.747943312,91.0128196098
45949,1,68.556546004,65.4471797202
45950,1,74.8331477355,56.5685424949
45956,1,60.0,54.7722557505
